epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,642.689,1.55688,0.71384,0.82607,0.83391,0.79026,0.79364,0.40773,1.58983,0.7808,0.88376,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,663.75,1.54169,0.70571,0.82663,0.84614,0.78427,0.80191,0.41859,1.61799,0.78677,0.89791,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,685.346,1.52439,0.69583,0.82545,0.83983,0.75582,0.78951,0.42006,1.5676,0.79291,0.88598,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,706.184,1.54545,0.70476,0.82527,0.84587,0.79165,0.79716,0.41642,1.5784,0.76015,0.88844,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,727.339,1.53785,0.70122,0.82495,0.85729,0.78178,0.79922,0.42416,1.54004,0.76312,0.8786,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,748.591,1.51714,0.69169,0.82663,0.86464,0.75194,0.79807,0.42404,1.5818,0.7767,0.88788,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,769.634,1.50778,0.68632,0.82326,0.85796,0.79272,0.80362,0.41966,1.57845,0.76605,0.88984,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,790.521,1.50629,0.6855,0.8244,0.82913,0.79106,0.80268,0.42132,1.58575,0.77209,0.88688,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,811.521,1.50475,0.68464,0.8199,0.86301,0.74283,0.79606,0.41987,1.52782,0.7629,0.87256,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,832.448,1.5078,0.68069,0.8211,0.83324,0.78469,0.8076,0.42496,1.52888,0.75362,0.8756,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,853.584,1.48785,0.67584,0.8221,0.85542,0.79896,0.80977,0.42105,1.51531,0.74125,0.87005,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,874.213,1.49744,0.68292,0.82,0.87839,0.78944,0.8141,0.43277,1.51572,0.74211,0.87752,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,894.882,1.47891,0.67115,0.81964,0.84029,0.80488,0.80965,0.43242,1.50919,0.72722,0.87499,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,917.794,1.46135,0.66253,0.81871,0.80284,0.80812,0.80736,0.42639,1.52101,0.73978,0.87387,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,938.238,1.46872,0.6642,0.81799,0.86026,0.80304,0.80941,0.43311,1.514,0.73742,0.87444,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,958.995,1.45731,0.66155,0.81874,0.87592,0.79179,0.81132,0.43383,1.48741,0.74688,0.87281,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,979.462,1.45511,0.65397,0.81989,0.82389,0.80574,0.81184,0.43615,1.50574,0.73811,0.87655,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,999.262,1.46708,0.66174,0.81664,0.8409,0.80888,0.81106,0.43244,1.54033,0.74465,0.87561,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1018.62,1.45268,0.65171,0.81607,0.84049,0.81023,0.81869,0.43904,1.50098,0.73643,0.87434,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,1037.75,1.45618,0.64995,0.81735,0.8589,0.80104,0.81858,0.4414,1.50627,0.73665,0.8827,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,1056.82,1.44577,0.65567,0.81732,0.85545,0.76669,0.8088,0.43347,1.52666,0.7517,0.87626,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1075.99,1.42864,0.64552,0.81917,0.83857,0.79379,0.81468,0.43334,1.54549,0.75922,0.87889,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1095.13,1.43153,0.64564,0.81503,0.87348,0.81126,0.82006,0.44512,1.49915,0.73322,0.87241,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,1114.2,1.42011,0.63696,0.81569,0.85973,0.80791,0.81469,0.44151,1.53762,0.73669,0.88217,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1133.12,1.41924,0.63251,0.8147,0.85875,0.79353,0.81446,0.44067,1.52975,0.74799,0.87092,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1152.22,1.40917,0.6329,0.81414,0.84839,0.81879,0.81863,0.44264,1.49408,0.72984,0.87107,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1171.7,1.4267,0.64049,0.81358,0.85519,0.81053,0.8142,0.44078,1.48028,0.71956,0.86864,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,1191.15,1.41248,0.63193,0.81531,0.84854,0.82008,0.81409,0.44251,1.48465,0.72346,0.86473,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,1209.15,1.41721,0.63614,0.81261,0.8638,0.80309,0.81583,0.44131,1.50722,0.73475,0.87111,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,1226.86,1.40755,0.6284,0.81088,0.85989,0.78982,0.81663,0.44666,1.48013,0.72549,0.86672,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,1244.38,1.40676,0.62556,0.81273,0.86608,0.8145,0.82081,0.44555,1.49103,0.73548,0.8709,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,1261.83,1.39405,0.62194,0.81437,0.87407,0.8175,0.82871,0.4463,1.49929,0.72646,0.87712,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,1279.8,1.3875,0.61692,0.81303,0.85985,0.81533,0.82128,0.44865,1.47703,0.72057,0.86939,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,1297.2,1.38742,0.62013,0.80993,0.86196,0.81916,0.82498,0.45155,1.46689,0.71266,0.86699,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,1314.19,1.37896,0.61617,0.81136,0.86961,0.81446,0.82512,0.45651,1.45052,0.71694,0.86905,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,1331.55,1.38397,0.61784,0.81156,0.871,0.82102,0.82583,0.44983,1.46943,0.72972,0.86742,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,1349.14,1.37195,0.60994,0.81016,0.85897,0.80829,0.82843,0.45599,1.45961,0.71886,0.86493,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
